Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
201000;Powiat boles_awiecki;7,63;92,2;47,1;49941968,7;106;3,1;88100;4,4
202000;Powiat dzier_oniowski;6,14;85,4;78,2;47908920,94;111;5,2;106961;3,8
203000;Powiat g_ogowski;6,67;87,3;73,4;86927795,99;106;6,4;88098;3,9
204000;Powiat g—rowski;6,55;80,9;41,1;18836751,07;101;13,8;36763;3,2
205000;Powiat jaworski;6,88;91,6;53,6;21048939,16;104;10,2;52819;3,7
206000;Powiat karkonoski;5,38;83,9;42,5;14437261,94;108;8,5;63931;3,2
207000;Powiat kamiennog—rski;5,61;82,8;56,4;18786422,36;105;6,1;47194;2,8
208000;Powiat k_odzki;5,75;84,6;63,3;72949197,13;108;11,8;170641;3,4
209000;Powiat legnicki;7,36;91,2;29;11762255,93;104;8,1;53061;3,9
210000;Powiat luba_ski;5,87;82,3;61,9;30541682,02;107;7,1;57848;3,5
211000;Powiat lubi_ski;7,06;169,4;71,3;99202341,8;108;3,9;106353;4
212000;Powiat lw—wecki;6,54;83,2;49,7;31315973,54;105;8,7;48863;3,9
213000;Powiat milicki;7,07;79,2;30,3;16346684,56;103;6,3;36929;3,3
214000;Powiat ole_nicki;8,74;85,9;54,8;54162790,77;105;6;102985;3,8
215000;Powiat o_awski;9,36;89,9;62,4;45217643,95;106;4,2;70628;3,9
216000;Powiat polkowicki;8,69;102,3;56,4;17658412,62;103;4,4;61167;4,7
217000;Powiat strzeli_ski;8,07;94,3;34;25446469,53;103;10,4;44666;3,5
218000;Powiat _redzki;8,95;94,2;16,3;17279140,84;102;4,7;48509;3,6
219000;Powiat _widnicki;6,7;90,4;67,4;90013585,89;108;5,6;161974;3,7
220000;Powiat trzebnicki;7,8;87,3;35,6;32809939,98;103;4,8;76075;3,8
221000;Powiat wa_brzyski;5,91;81;64,1;10638367,75;108;11,7;59841;3,7
222000;Powiat wo_owski;7,46;117,9;53,9;32530984,91;105;11,2;47817;3,3
223000;Powiat wroc_awski;10,24;106,8;13,6;21506130,77;104;1,4;95973;4,4
224000;Powiat z_bkowicki;6,28;83,7;51,6;30999565,88;106;9,5;70607;3,4
225000;Powiat zgorzelecki;6,18;89,2;67;43863444,63;107;5,1;96129;4,1
226000;Powiat z_otoryjski;6,35;93;48,5;13979198,32;105;13,7;46206;3,5
261000;Powiat m. Jelenia G—ra;5,78;93,7;100;13979198,32;116;3,6;89339;3,9
262000;Powiat m. Legnica;7,53;90,5;100;13979198,32;112;5,1;107100;4,1
264000;Powiat m. Wroc_aw;9,99;110,2;100;13979198,32;113;1,6;640367;5,7
265000;Powiat m. Wa_brzych od 2013;6,19;100,4;100;13979198,32;113;4,2;640367;3,5
401000;Powiat aleksandrowski;7,77;78,4;43,8;28306058,91;105;11,3;55218;3,6
402000;Powiat brodnicki;9,38;77,2;42,9;40275441,35;101;6,9;74635;4,2
403000;Powiat bydgoski;7,49;86,4;20,8;24090501,92;102;3,3;88154;4,1
404000;Powiat che_mi_ski;6,42;79,6;37;29315342,37;105;12,3;51315;3,3
405000;Powiat golubsko-dobrzy_ski;8,27;89,7;35,6;25287356,41;102;10,6;44950;4
406000;Powiat grudzi_dzki;7,93;82,4;12,4;4527298,98;100;11,3;38401;3,1
407000;Powiat inowroc_awski;7,04;84,3;64,1;82478449,9;107;10,3;166364;3,9
408000;Powiat lipnowski;8,35;73,2;30;32042948,02;101;12,7;66591;4
409000;Powiat mogile_ski;7,51;81,8;37,4;26539345,24;104;9,6;47284;4,1
410000;Powiat nakielski;7,38;88,1;42,1;45397255,95;102;10,4;83991;3,9
411000;Powiat radziejowski;6,75;78,3;24,5;29037452,99;103;15,3;42883;4,1
412000;Powiat rypi_ski;6,89;76,7;37,5;48639372,09;103;8,9;44719;4,1
