"Kod";"Nazwa";"urodzenia żywe na 1000 ludności;2021;[-]";"urodzenia żywe na 1000 ludności;2022;[-]";
0201000;"Powiat bolesławiecki";8,08;7,63;
0202000;"Powiat dzierżoniowski";6,65;6,14;
0203000;"Powiat głogowski";7,83;6,67;
0204000;"Powiat górowski";7,92;6,55;
0205000;"Powiat jaworski";7,36;6,88;
0206000;"Powiat karkonoski";5,65;5,38;
0207000;"Powiat kamiennogórski";6,19;5,61;
0208000;"Powiat kłodzki";6,06;5,75;
0209000;"Powiat legnicki";7,46;7,36;
0210000;"Powiat lubański";7,21;5,87;
0211000;"Powiat lubiński";8,66;7,06;
0212000;"Powiat lwówecki";5,91;6,54;
0213000;"Powiat milicki";8,62;7,07;
0214000;"Powiat oleśnicki";9,17;8,74;
0215000;"Powiat oławski";9,24;9,36;
0216000;"Powiat polkowicki";8,76;8,69;
0217000;"Powiat strzeliński";7,88;8,07;
0218000;"Powiat średzki";9,23;8,95;
0219000;"Powiat świdnicki";7,39;6,70;
0220000;"Powiat trzebnicki";8,44;7,80;
0221000;"Powiat wałbrzyski";6,20;5,91;
0222000;"Powiat wołowski";7,92;7,46;
0223000;"Powiat wrocławski";11,71;10,24;
0224000;"Powiat ząbkowicki";6,41;6,28;
0225000;"Powiat zgorzelecki";5,97;6,18;
0226000;"Powiat złotoryjski";6,56;6,35;
0261000;"Powiat m. Jelenia Góra";6,91;5,78;
0262000;"Powiat m. Legnica";8,05;7,53;
0264000;"Powiat m. Wrocław";10,62;9,99;
0265000;"Powiat m. Wałbrzych od 2013";6,01;6,19;
0401000;"Powiat aleksandrowski";7,29;7,77;
0402000;"Powiat brodnicki";10,71;9,38;
0403000;"Powiat bydgoski";8,14;7,49;
0404000;"Powiat chełmiński";7,89;6,42;
0405000;"Powiat golubsko-dobrzyński";8,51;8,27;
0406000;"Powiat grudziądzki";7,68;7,93;
0407000;"Powiat inowrocławski";7,70;7,04;
0408000;"Powiat lipnowski";9,05;8,35;
0409000;"Powiat mogileński";8,38;7,51;
0410000;"Powiat nakielski";8,73;7,38;
0411000;"Powiat radziejowski";8,09;6,75;
0412000;"Powiat rypiński";7,81;6,89;
0413000;"Powiat sępoleński";8,38;7,96;
0414000;"Powiat świecki";8,22;7,57;
0415000;"Powiat toruński";8,75;7,93;
0416000;"Powiat tucholski";9,38;8,95;
0417000;"Powiat wąbrzeski";8,24;8,49;
0418000;"Powiat włocławski";7,43;6,69;
